报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,1136.486,5.376,211.4,10.53,40.81%,2.56亿,112.58%,13.0,107.9284,621.7647,16.2615,PS；PE,160.29亿,57.25亿,24.29%,69.90亿,5.1,,易峥
2026-03-31,1136.486,5.376,211.4,10.53,40.81%,2.56亿,112.58%,13.0,26.9821,621.7647,16.2615,PS；PE,160.29亿,57.25亿,24.29%,69.90亿,5.1,,易峥
2025,1216.696,5.376,226.32,60.29,44.00%,32.05亿,75.79%,17.66,20.1807,37.9732,12.8154,PS；PE,140.36亿,82.11亿,53.16%,94.92亿,3.1,,易峥
2024,1074.447,5.376,199.86,41.87,17.47%,18.23亿,30.00%,14.83,25.6615,58.9558,13.4767,PS；PE,92.50亿,66.73亿,43.55%,79.74亿,2.2,,易峥
2023,576.684,5.376,107.27,35.64,0.14%,14.02亿,-17.07%,13.61,16.1808,41.0996,7.8817,PS；PE,81.70亿,60.32亿,39.35%,73.19亿,2.5,,易峥
2022,357.396,5.376,66.48,35.59,1.40%,16.91亿,-11.52%,13.48,10.042,21.1048,4.9318,PS；PE,75.38亿,59.75亿,47.52%,72.45亿,1.8,,易峥
2021,513.838,5.376,95.58,35.1,23.43%,19.11亿,10.86%,12.05,14.6393,26.8483,7.932,PS；PE,72.75亿,52.51亿,54.45%,64.77亿,1.2,,易峥
2020,436.37,5.376,81.17,28.44,63.23%,17.24亿,92.05%,9.72,15.3435,25.2866,8.3508,PS；PE,61.25亿,39.85亿,60.62%,52.24亿,0.85,,易峥
2019,380.997,5.376,70.87,17.42,25.61%,8.98亿,41.60%,7.42,21.8712,42.4371,9.5512,PS；PE,40.88亿,27.18亿,51.53%,39.90亿,0.48,,易峥
2018,132.68,5.376,24.68,13.87,-1.62%,6.34亿,-12.64%,6.21,9.566,20.9153,3.9742,PS；PE,34.35亿,20.78亿,45.71%,33.40亿,0.9,,易峥
2017,,,31.73,14.1,-18.69%,7.26亿,-40.11%,5.9,,23.5037,5.378,PS；PE,35.07亿,19.93亿,51.48%,31.69亿,0.9,,易峥
2016,,,43.08,17.34,20.23%,12.12亿,26.57%,5.49,,19.1467,7.847,PS；PE,33.52亿,18.36亿,69.89%,29.53亿,0.74,,易峥
2015,,,43.89,14.42,442.91%,9.57亿,1483.35%,3.96,,24.6573,11.0833,PS；PE,30.42亿,11.39亿,66.38%,21.27亿,0.08,,易峥
2014,,,14.0,2.66,44.44%,6045.55万,175.78%,4.43,,127.2727,3.1603,PS；PE,12.31亿,2.70亿,22.76%,11.91亿,0.06,,易峥
2013,,,3.66,1.84,6.89%,2192.19万,-15.51%,8.48,,45.75,0.4316,PS；PE,10.27亿,2.24亿,11.92%,11.39亿,0.06,,易峥
2012,,,2.09,1.72,-20.09%,2594.62万,-57.97%,8.37,,11.0,0.2497,PS；PE,9.95亿,2.13亿,15.08%,11.25亿,0.13999999999999999,,易峥
2011,,,2.43,2.15,0.39%,6173.16万,-32.36%,8.32,,5.2826,0.2921,PS；PE,10.22亿,2.09亿,28.68%,11.18亿,0.21000000000000002,,易峥
2010,,,5.36,2.14,12.38%,9126.69万,22.12%,8.07,,7.8824,0.6642,PS；PE,11.60亿,1.78亿,42.56%,10.85亿,0.3,,易峥
