报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,37.416,0.444,84.27,0.322036,-11.07%,-1163.85万,-26.43%,8.23,116.1858,,10.2394,PS；PE,2.83亿,-3.63亿,-36.17%,3.66亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,李凯
2026-03-31,37.416,0.444,84.27,0.322036,-11.07%,-1163.85万,-26.43%,8.23,29.0464,,10.2394,PS；PE,2.83亿,-3.63亿,-36.17%,3.66亿,,,李凯
2025,27.83,0.444,62.68,1.27,-9.88%,-9683.50万,15.92%,8.19,21.9134,,7.6532,PS；PE,3.05亿,-3.51亿,-76.49%,3.64亿,,,李凯
2024,18.564,0.444,41.81,1.41,16.42%,-1.15亿,-8.02%,9.46,13.166,,4.4197,PS；PE,3.32亿,-2.54亿,-82.25%,4.20亿,,,李凯
2023,21.343,0.444,48.07,1.21,3.73%,-1.07亿,-31.29%,12.44,17.6388,,3.8641,PS；PE,4.30亿,-1.39亿,-88.32%,5.53亿,,,李凯
2022,15.118,0.444,34.05,1.16,-12.56%,-8121.57万,-11.32%,14.79,13.0328,,2.3022,PS；PE,5.30亿,-3250.72万,-69.80%,6.57亿,,,李凯
2021,24.464,0.444,55.1,1.33,-4.13%,-7295.75万,-334.30%,17.39,18.394,,3.1685,PS；PE,6.49亿,4868.15万,-54.81%,7.72亿,0.2,,李凯
2020,46.9,0.444,105.63,1.39,-15.62%,3113.91万,-48.98%,18.94,33.741,125.75,5.5771,PS；PE,7.47亿,1.31亿,22.43%,8.41亿,1.0,,李凯
2019,,,,1.65,7.40%,6103.77万,16.62%,6.12,,,,PS；PE,1.58亿,1.47亿,37.10%,2.04亿,,,李凯
2018,,,,1.53,17.75%,5234.02万,8.32%,4.89,,,,PS；PE,1.28亿,1.12亿,34.17%,1.63亿,,,李凯
2017,,,,1.3,24.80%,4832.04万,56.77%,3.32,,,,PS；PE,8384.15万,6449.14万,37.14%,1.10亿,,,李凯
2016,,,,1.04,56.04%,3082.32万,67.28%,2.12,,,,PS；PE,4905.23万,2914.48万,29.57%,7050.32万,,,李凯
2015,,,,0.668129,66.57%,1842.64万,121.61%,3.57,,,,PS；PE,4680.35万,1313.58万,27.58%,3968.00万,,,李凯
2014,,,,0.401119,71.60%,831.47万,54.24%,7.53,,,,PS；PE,1554.91万,1149.41万,20.73%,1505.37万,,,李凯
2013,,,,0.233753,False,539.09万,False,3.37,,,,PS；PE,496.76万,417.34万,23.06%,673.89万,,,李凯
